Date,State,Region,Confirmed,Deaths,Recovered
4/29/2020,Liaoning,Mainland China,146,2,143
4/29/2020,Louisiana,US,27660,1845,0
4/29/2020,Macau,Macau,45,0,34
4/29/2020,Maine,US,1056,52,0
4/29/2020,Manitoba,Canada,275,6,0
4/29/2020,Martinique,France,175,14,83
4/29/2020,Maryland,US,20849,1078,0
4/29/2020,Massachusetts,US,60265,3405,0
4/29/2020,Mayotte,France,460,4,235
4/29/2020,Michigan,US,40399,3670,0
4/29/2020,Minnesota,US,4644,319,0
4/29/2020,Mississippi,US,6569,250,0
4/29/2020,Missouri,US,7660,338,0
4/29/2020,Montana,US,451,16,0
4/29/2020,Montserrat,UK,11,1,2
4/29/2020,Nebraska,US,3851,56,0
4/29/2020,Nevada,US,4934,230,0
4/29/2020,New Brunswick,Canada,118,0,0
4/29/2020,New Caledonia,France,18,0,17
4/29/2020,New Hampshire,US,2058,60,0
4/29/2020,New Jersey,US,116365,6771,0
4/29/2020,New Mexico,US,3213,112,0
4/29/2020,New South Wales,Australia,3016,40,2284
4/29/2020,New York,US,299691,23477,0
4/29/2020,Newfoundland and Labrador,Canada,258,3,0
4/29/2020,Ningxia,Mainland China,75,0,75
4/29/2020,North Carolina,US,10180,382,0
4/29/2020,North Dakota,US,1033,19,0
4/29/2020,Northern Mariana Islands,US,14,2,0
4/29/2020,Northern Territory,Australia,28,0,25
4/29/2020,Northwest Territories,Canada,5,0,0
4/29/2020,Nova Scotia,Canada,935,28,0
4/29/2020,Ohio,US,17303,937,0
4/29/2020,Oklahoma,US,3473,214,0
4/29/2020,Ontario,Canada,16978,1153,0
4/29/2020,Oregon,US,2446,101,0
4/29/2020,Pennsylvania,US,46327,2373,0
4/29/2020,Prince Edward Island,Canada,27,0,0
4/29/2020,Puerto Rico,US,1433,86,0
4/29/2020,Qinghai,Mainland China,18,0,18
4/29/2020,Quebec,Canada,26610,1762,0
4/29/2020,Queensland,Australia,1033,6,943
4/29/2020,Recovered,Canada,0,0,20327
4/29/2020,Recovered,US,0,0,120720
4/29/2020,Reunion,France,420,0,300
4/29/2020,Rhode Island,US,8247,251,0
4/29/2020,Saint Barthelemy,France,6,0,6
4/29/2020,Saint Pierre and Miquelon,France,1,0,0
4/29/2020,Saskatchewan,Canada,383,6,0
4/29/2020,Shaanxi,Mainland China,306,3,253
4/29/2020,Shandong,Mainland China,787,7,772
4/29/2020,Shanghai,Mainland China,647,7,597
4/29/2020,Shanxi,Mainland China,197,0,164
4/29/2020,Sichuan,Mainland China,561,3,558
4/29/2020,Sint Maarten,Netherlands,75,13,33
4/29/2020,South Australia,Australia,438,4,420
4/29/2020,South Carolina,US,5882,231,0
4/29/2020,South Dakota,US,2373,13,0
4/29/2020,St Martin,France,38,3,24
4/29/2020,Tasmania,Australia,219,12,144
4/29/2020,Tennessee,US,10366,195,0
4/29/2020,Texas,US,27257,754,0
4/29/2020,Tianjin,Mainland China,190,3,183
4/29/2020,Tibet,Mainland China,1,0,1
4/29/2020,Turks and Caicos Islands,UK,12,1,5
4/29/2020,Utah,US,4497,45,0
4/29/2020,Vermont,US,862,47,0
4/29/2020,Victoria,Australia,1361,18,1291
4/29/2020,Virgin Islands,US,57,4,0
4/29/2020,Virginia,US,14962,522,0
4/29/2020,Washington,US,14070,801,0
4/29/2020,West Virginia,US,1110,38,0
4/29/2020,Western Australia,Australia,551,8,507
4/29/2020,Wisconsin,US,6520,308,0
4/29/2020,Wyoming,US,545,7,0
4/29/2020,Xinjiang,Mainland China,76,3,73
4/29/2020,Yukon,Canada,11,0,0
4/29/2020,Yunnan,Mainland China,185,2,181
4/29/2020,Zhejiang,Mainland China,1268,1,1263
